,Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
24214,2021-03-21,Canada,Alberta,141934,,1963
24215,2021-03-22,Canada,Alberta,142390,,1968
24216,2021-03-23,Canada,Alberta,142855,,1971
24217,2021-03-24,Canada,Alberta,143547,,1973
24218,2021-03-25,Canada,Alberta,144311,,1976
24219,2021-03-26,Canada,Alberta,145028,,1979
24220,2021-03-27,Canada,Alberta,145696,,1980
24221,2021-03-28,Canada,Alberta,146340,,1983
24222,2021-03-29,Canada,Alberta,146885,,1983
24223,2021-03-30,Canada,Alberta,147461,,1987
24224,2021-03-31,Canada,Alberta,148332,,1990
24225,2021-04-01,Canada,Alberta,149207,,1994
24226,2021-04-02,Canada,Alberta,149207,,1994
24227,2021-04-03,Canada,Alberta,150307,,1994
24228,2021-04-04,Canada,Alberta,150307,,1994
24229,2021-04-05,Canada,Alberta,153194,,1998
24230,2021-04-06,Canada,Alberta,154125,,2001
24231,2021-04-07,Canada,Alberta,155476,,2002
24232,2021-04-08,Canada,Alberta,156905,,2005
24233,2021-04-09,Canada,Alberta,158426,,2007
24234,2021-04-10,Canada,Alberta,159719,,2012
24235,2021-04-11,Canada,Alberta,160902,,2013
24236,2021-04-12,Canada,Alberta,162038,,2018
24237,2021-04-13,Canada,Alberta,163119,,2021
24238,2021-04-14,Canada,Alberta,164531,,2029
24239,2021-04-15,Canada,Alberta,166177,,2034
24240,2021-04-16,Canada,Alberta,167793,,2034
24241,2021-04-17,Canada,Alberta,169279,,2037
24242,2021-04-18,Canada,Alberta,170795,,2040
24243,2021-04-19,Canada,Alberta,172186,,2043
24244,2021-04-20,Canada,Alberta,173531,,2048
24245,2021-04-21,Canada,Alberta,175230,,2048
24246,2021-04-22,Canada,Alberta,177087,,2054
24247,2021-04-23,Canada,Alberta,178777,,2059
24248,2021-04-24,Canada,Alberta,180369,,2064
24249,2021-04-25,Canada,Alberta,181806,,2067
24250,2021-04-26,Canada,Alberta,183301,,2074
24251,2021-04-27,Canada,Alberta,184840,,2067
24252,2021-04-28,Canada,Alberta,186679,,2073
24253,2021-04-29,Canada,Alberta,188727,,2075
24254,2021-04-30,Canada,Alberta,190734,,2082
24255,2021-05-01,Canada,Alberta,193167,,2083
24256,2021-05-02,Canada,Alberta,194898,,2086
24257,2021-05-03,Canada,Alberta,196910,,2090
24258,2021-05-04,Canada,Alberta,198653,,2099
24259,2021-05-05,Canada,Alberta,200924,,2102
24260,2021-05-06,Canada,Alberta,203135,,2102
24261,2021-05-07,Canada,Alberta,205115,,2106
24262,2021-05-08,Canada,Alberta,207157,,2108
24263,2021-05-09,Canada,Alberta,208790,,2110
24264,2021-05-10,Canada,Alberta,210387,,2117
24265,2021-05-11,Canada,Alberta,211836,,2119
24266,2021-05-12,Canada,Alberta,213635,,2123
24267,2021-05-13,Canada,Alberta,215193,,2132
24268,2021-05-14,Canada,Alberta,216626,,2137
24269,2021-05-15,Canada,Alberta,217821,,2140
24270,2021-05-16,Canada,Alberta,218961,,2143
24271,2021-05-17,Canada,Alberta,219682,,2148
24272,2021-05-18,Canada,Alberta,220559,,2152
24273,2021-05-19,Canada,Alberta,221467,,2158
24274,2021-05-20,Canada,Alberta,222279,,2162
24275,2021-05-21,Canada,Alberta,223011,,2164
24276,2021-05-22,Canada,Alberta,223632,,2170
24277,2021-05-23,Canada,Alberta,224195,,2176
24278,2021-05-24,Canada,Alberta,224647,,2183
24279,2021-05-25,Canada,Alberta,225034,,2192
24280,2021-05-26,Canada,Alberta,225424,,2198
24281,2021-05-27,Canada,Alberta,225937,,2199
24282,2021-05-28,Canada,Alberta,226449,,2206
24283,2021-05-29,Canada,Alberta,226855,,2214
24284,2021-05-30,Canada,Alberta,227246,,2219
24285,2021-05-31,Canada,Alberta,227509,,2227
24286,2021-06-01,Canada,Alberta,227718,,2228
24287,2021-06-02,Canada,Alberta,228128,,2231
24288,2021-06-03,Canada,Alberta,228424,,2236
24289,2021-06-04,Canada,Alberta,228668,,2243
24290,2021-06-05,Canada,Alberta,228961,,2246
24291,2021-06-06,Canada,Alberta,229192,,2246
24292,2021-06-07,Canada,Alberta,229319,,2248
24293,2021-06-08,Canada,Alberta,229458,,2251
24294,2021-06-09,Canada,Alberta,229771,,2256
24295,2021-06-10,Canada,Alberta,229949,,2262
24296,2021-06-11,Canada,Alberta,230119,,2265
24297,2021-06-12,Canada,Alberta,230298,,2269
24298,2021-06-13,Canada,Alberta,230463,,2270
24299,2021-06-14,Canada,Alberta,230578,,2270
24300,2021-06-15,Canada,Alberta,230705,,2274
24301,2021-06-16,Canada,Alberta,230858,,2278
